gameid,winning_team,100_TOP_avg_game_time,100_TOP_positions_played,100_TOP_avg_kda,100_TOP_avg_kp,100_TOP_avg_vision,100_TOP_avg_cs,100_TOP_goldpm,100_TOP_dmgpm,100_TOP_dmg_to_obj_pm,100_TOP_wr,100_TOP_tier,100_TOP_rank,100_TOP_lp,100_TOP_wins,100_TOP_losses,100_TOP_veteran,100_TOP_inactive,100_TOP_freshblood,100_TOP_hotstreak,100_TOP_role_total_played,100_TOP_role_wr,100_TOP_champ_games_played,100_TOP_champ_winrate,100_JUNGLE_avg_game_time,100_JUNGLE_positions_played,100_JUNGLE_avg_kda,100_JUNGLE_avg_kp,100_JUNGLE_avg_vision,100_JUNGLE_avg_cs,100_JUNGLE_goldpm,100_JUNGLE_dmgpm,100_JUNGLE_dmg_to_obj_pm,100_JUNGLE_wr,100_JUNGLE_tier,100_JUNGLE_rank,100_JUNGLE_lp,100_JUNGLE_wins,100_JUNGLE_losses,100_JUNGLE_veteran,100_JUNGLE_inactive,100_JUNGLE_freshblood,100_JUNGLE_hotstreak,100_JUNGLE_role_total_played,100_JUNGLE_role_wr,100_JUNGLE_champ_games_played,100_JUNGLE_champ_winrate,100_MIDDLE_avg_game_time,100_MIDDLE_positions_played,100_MIDDLE_avg_kda,100_MIDDLE_avg_kp,100_MIDDLE_avg_vision,100_MIDDLE_avg_cs,100_MIDDLE_goldpm,100_MIDDLE_dmgpm,100_MIDDLE_dmg_to_obj_pm,100_MIDDLE_wr,100_MIDDLE_tier,100_MIDDLE_rank,100_MIDDLE_lp,100_MIDDLE_wins,100_MIDDLE_losses,100_MIDDLE_veteran,100_MIDDLE_inactive,100_MIDDLE_freshblood,100_MIDDLE_hotstreak,100_MIDDLE_role_total_played,100_MIDDLE_role_wr,100_MIDDLE_champ_games_played,100_MIDDLE_champ_winrate,100_BOTTOM_avg_game_time,100_BOTTOM_positions_played,100_BOTTOM_avg_kda,100_BOTTOM_avg_kp,100_BOTTOM_avg_vision,100_BOTTOM_avg_cs,100_BOTTOM_goldpm,100_BOTTOM_dmgpm,100_BOTTOM_dmg_to_obj_pm,100_BOTTOM_wr,100_BOTTOM_tier,100_BOTTOM_rank,100_BOTTOM_lp,100_BOTTOM_wins,100_BOTTOM_losses,100_BOTTOM_veteran,100_BOTTOM_inactive,100_BOTTOM_freshblood,100_BOTTOM_hotstreak,100_BOTTOM_role_total_played,100_BOTTOM_role_wr,100_BOTTOM_champ_games_played,100_BOTTOM_champ_winrate,100_UTILITY_avg_game_time,100_UTILITY_positions_played,100_UTILITY_avg_kda,100_UTILITY_avg_kp,100_UTILITY_avg_vision,100_UTILITY_avg_cs,100_UTILITY_goldpm,100_UTILITY_dmgpm,100_UTILITY_dmg_to_obj_pm,100_UTILITY_wr,100_UTILITY_tier,100_UTILITY_rank,100_UTILITY_lp,100_UTILITY_wins,100_UTILITY_losses,100_UTILITY_veteran,100_UTILITY_inactive,100_UTILITY_freshblood,100_UTILITY_hotstreak,100_UTILITY_role_total_played,100_UTILITY_role_wr,100_UTILITY_champ_games_played,100_UTILITY_champ_winrate,200_TOP_avg_game_time,200_TOP_positions_played,200_TOP_avg_kda,200_TOP_avg_kp,200_TOP_avg_vision,200_TOP_avg_cs,200_TOP_goldpm,200_TOP_dmgpm,200_TOP_dmg_to_obj_pm,200_TOP_wr,200_TOP_tier,200_TOP_rank,200_TOP_lp,200_TOP_wins,200_TOP_losses,200_TOP_veteran,200_TOP_inactive,200_TOP_freshblood,200_TOP_hotstreak,200_TOP_role_total_played,200_TOP_role_wr,200_TOP_champ_games_played,200_TOP_champ_winrate,200_JUNGLE_avg_game_time,200_JUNGLE_positions_played,200_JUNGLE_avg_kda,200_JUNGLE_avg_kp,200_JUNGLE_avg_vision,200_JUNGLE_avg_cs,200_JUNGLE_goldpm,200_JUNGLE_dmgpm,200_JUNGLE_dmg_to_obj_pm,200_JUNGLE_wr,200_JUNGLE_tier,200_JUNGLE_rank,200_JUNGLE_lp,200_JUNGLE_wins,200_JUNGLE_losses,200_JUNGLE_veteran,200_JUNGLE_inactive,200_JUNGLE_freshblood,200_JUNGLE_hotstreak,200_JUNGLE_role_total_played,200_JUNGLE_role_wr,200_JUNGLE_champ_games_played,200_JUNGLE_champ_winrate,200_MIDDLE_avg_game_time,200_MIDDLE_positions_played,200_MIDDLE_avg_kda,200_MIDDLE_avg_kp,200_MIDDLE_avg_vision,200_MIDDLE_avg_cs,200_MIDDLE_goldpm,200_MIDDLE_dmgpm,200_MIDDLE_dmg_to_obj_pm,200_MIDDLE_wr,200_MIDDLE_tier,200_MIDDLE_rank,200_MIDDLE_lp,200_MIDDLE_wins,200_MIDDLE_losses,200_MIDDLE_veteran,200_MIDDLE_inactive,200_MIDDLE_freshblood,200_MIDDLE_hotstreak,200_MIDDLE_role_total_played,200_MIDDLE_role_wr,200_MIDDLE_champ_games_played,200_MIDDLE_champ_winrate,200_BOTTOM_avg_game_time,200_BOTTOM_positions_played,200_BOTTOM_avg_kda,200_BOTTOM_avg_kp,200_BOTTOM_avg_vision,200_BOTTOM_avg_cs,200_BOTTOM_goldpm,200_BOTTOM_dmgpm,200_BOTTOM_dmg_to_obj_pm,200_BOTTOM_wr,200_BOTTOM_tier,200_BOTTOM_rank,200_BOTTOM_lp,200_BOTTOM_wins,200_BOTTOM_losses,200_BOTTOM_veteran,200_BOTTOM_inactive,200_BOTTOM_freshblood,200_BOTTOM_hotstreak,200_BOTTOM_role_total_played,200_BOTTOM_role_wr,200_BOTTOM_champ_games_played,200_BOTTOM_champ_winrate,200_UTILITY_avg_game_time,200_UTILITY_positions_played,200_UTILITY_avg_kda,200_UTILITY_avg_kp,200_UTILITY_avg_vision,200_UTILITY_avg_cs,200_UTILITY_goldpm,200_UTILITY_dmgpm,200_UTILITY_dmg_to_obj_pm,200_UTILITY_wr,200_UTILITY_tier,200_UTILITY_rank,200_UTILITY_lp,200_UTILITY_wins,200_UTILITY_losses,200_UTILITY_veteran,200_UTILITY_inactive,200_UTILITY_freshblood,200_UTILITY_hotstreak,200_UTILITY_role_total_played,200_UTILITY_role_wr,200_UTILITY_champ_games_played,200_UTILITY_champ_winrate
NA1_4144890019,200,23.27166667,TOP TOP TOP TOP TOP TOP TOP BOTTOM TOP TOP,2.344101732,0.421482719,19.9,7.399555969,450.2556757,660.5844016,430.5063382,0.5,GRANDMASTER,I,765,98,82,FALSE,FALSE,FALSE,FALSE,168,0.553571429,4,0.25,23.59833333,JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE MIDDLE,6.85952381,0.531200456,19.2,5.322409775,434.6959531,580.6893142,773.6563317,0.5,CHALLENGER,I,1223,151,91,FALSE,FALSE,FALSE,FALSE,268,0.649253731,172,0.720930233,25.085,MIDDLE BOTTOM MIDDLE MIDDLE MIDDLE MIDDLE MIDDLE BOTTOM MIDDLE TOP,2.114444444,0.392827257,23.7,7.10384692,413.5897947,680.8451266,270.017939,0.5,CHALLENGER,I,896,342,297,TRUE,FALSE,FALSE,FALSE,491,0.537678208,5,0.6,22.58166667,UTILITY UTILITY UTILITY UTILITY UTILITY UTILITY UTILITY UTILITY UTILITY UTILITY,4.636593407,0.524421803,47.1,0.952099786,285.9354934,280.6480183,67.54594435,0.4,CHALLENGER,I,1340,577,519,TRUE,FALSE,FALSE,FALSE,32,0.53125,14,0.642857143,28.585,UTILITY UTILITY MIDDLE UTILITY UTILITY UTILITY UTILITY UTILITY UTILITY UTILITY,1.906161616,0.475726549,63.6,1.539268847,303.6277768,563.9496239,98.10739899,0.3,MASTER,I,374,1833,1808,FALSE,FALSE,TRUE,FALSE,1947,0.51155624,3331,0.507355149,24.18333333,TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP,1.909384921,0.37095323,16.5,6.822880772,425.8718125,689.4169538,228.992419,0.4,CHALLENGER,I,1048,719,665,TRUE,FALSE,FALSE,FALSE,1130,0.53539823,149,0.590604027,26.375,JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE TOP,6.762929293,0.612359464,27.5,7.237914692,483.6436019,751.2872038,883.6398104,0.5,GRANDMASTER,I,696,302,280,TRUE,FALSE,FALSE,FALSE,481,0.544698545,30,0.533333333,25.24333333,MIDDLE MIDDLE MIDDLE MIDDLE TOP UTILITY MIDDLE MIDDLE MIDDLE MIDDLE,3.257460317,0.41789308,23.9,7.023636604,428.3863726,612.3953519,248.8142084,0.6,CHALLENGER,I,1433,173,112,TRUE,FALSE,FALSE,FALSE,199,0.638190955,27,0.518518519,26.91666667,BOTTOM MIDDLE MIDDLE MIDDLE MIDDLE BOTTOM BOTTOM BOTTOM BOTTOM MIDDLE,3.846190476,0.388899225,22.1,7.173993808,444.0185759,727.8167183,317.0080495,0.8,GRANDMASTER,I,852,397,356,TRUE,FALSE,FALSE,FALSE,202,0.53960396,36,0.555555556,25.18333333,BOTTOM BOTTOM BOTTOM BOTTOM UTILITY JUNGLE JUNGLE JUNGLE BOTTOM UTILITY,3.513095238,0.414308405,37.1,5.102581072,374.7915288,439.4414295,364.5307743,0.4,GRANDMASTER,I,825,419,389,FALSE,FALSE,FALSE,FALSE,616,0.524350649,25,0.36
NA1_4142559007,200,23.27166667,TOP TOP TOP TOP TOP TOP TOP BOTTOM TOP TOP,2.344101732,0.421482719,19.9,7.399555969,450.2556757,660.5844016,430.5063382,0.5,GRANDMASTER,I,765,98,82,FALSE,FALSE,FALSE,FALSE,168,0.553571429,22,0.5,24.55666667,JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE,5.588333333,0.54522506,20.6,7.452151486,471.7456224,768.0236188,1009.444822,0.5,GRANDMASTER,I,493,148,112,FALSE,FALSE,FALSE,FALSE,174,0.603448276,22,0.409090909,31.905,MIDDLE MIDDLE JUNGLE MIDDLE JUNGLE MIDDLE MIDDLE JUNGLE MIDDLE MIDDLE,4.767965368,0.555511895,19.5,7.663375646,552.5622943,1147.48472,376.6682338,0.6,CHALLENGER,I,880,908,868,FALSE,FALSE,FALSE,FALSE,1353,0.525498891,43,0.302325581,31.58833333,BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM MIDDLE,3.688917749,0.407818601,19,7.566084525,450.2706696,718.072073,410.7782409,0.7,GRANDMASTER,I,810,270,225,FALSE,FALSE,FALSE,TRUE,472,0.565677966,61,0.606557377,27.865,UTILITY UTILITY UTILITY UTILITY MIDDLE UTILITY UTILITY UTILITY UTILITY UTILITY,7.081666667,0.605024165,36,1.008433519,303.3339315,305.3328548,103.1186076,0.7,GRANDMASTER,I,820,761,727,FALSE,FALSE,FALSE,FALSE,1327,0.5146948,225,0.542222222,25.085,MIDDLE BOTTOM MIDDLE MIDDLE MIDDLE MIDDLE MIDDLE BOTTOM MIDDLE TOP,2.114444444,0.392827257,23.7,7.10384692,413.5897947,680.8451266,270.017939,0.5,CHALLENGER,I,896,342,297,TRUE,FALSE,FALSE,FALSE,77,0.493506494,0,,27.49333333,JUNGLE JUNGLE JUNGLE TOP JUNGLE JUNGLE JUNGLE JUNGLE TOP JUNGLE,2.583672439,0.424578305,18.1,5.088506305,424.9684772,559.5174588,805.7444229,0.5,MASTER,I,439,173,163,FALSE,FALSE,TRUE,FALSE,833,0.536614646,543,0.593001842,24.21833333,MIDDLE MIDDLE BOTTOM MIDDLE MIDDLE MIDDLE BOTTOM BOTTOM MIDDLE MIDDLE,1.741666667,0.354302548,14,7.238318079,417.3780194,709.5740142,257.2183607,0.4,GRANDMASTER,I,822,315,253,FALSE,FALSE,FALSE,FALSE,401,0.566084788,51,0.647058824,25.63166667,MIDDLE TOP JUNGLE MIDDLE MIDDLE TOP MIDDLE MIDDLE MIDDLE MIDDLE,3.125714286,0.503135591,16.9,4.907991417,482.3759672,615.1336238,140.5097861,0.5,GRANDMASTER,I,495,424,380,TRUE,FALSE,FALSE,FALSE,35,0.714285714,212,0.570754717,28.3,UTILITY UTILITY UTILITY UTILITY TOP JUNGLE UTILITY MIDDLE TOP UTILITY,1.660959596,0.506136232,49.5,2.770318021,326.8586572,471.254417,135.8727915,0.1,GRANDMASTER,I,651,592,507,FALSE,FALSE,FALSE,FALSE,941,0.547290117,25,0.52
NA1_4141413442,200,23.27166667,TOP TOP TOP TOP TOP TOP TOP BOTTOM TOP TOP,2.344101732,0.421482719,19.9,7.399555969,450.2556757,660.5844016,430.5063382,0.5,GRANDMASTER,I,765,98,82,FALSE,FALSE,FALSE,FALSE,168,0.553571429,4,0.25,23.765,JUNGLE JUNGLE JUNGLE TOP JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE,3.637258297,0.420519352,20.1,7.317483695,450.031559,643.9806438,892.6993478,0.4,GRANDMASTER,I,502,156,112,FALSE,FALSE,FALSE,FALSE,223,0.569506726,125,0.6,23.365,UTILITY MIDDLE TOP UTILITY UTILITY UTILITY UTILITY JUNGLE JUNGLE JUNGLE,2.025531136,0.477961752,31.2,3.762037235,353.6400599,535.0310293,227.5026749,0.2,CHALLENGER,I,1077,771,710,FALSE,FALSE,FALSE,FALSE,375,0.490666667,72,0.5,28.05333333,BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM TOP TOP BOTTOM BOTTOM BOTTOM,3.639267677,0.543406804,28.5,7.389496198,473.7369297,882.9824144,326.2927757,0.7,GRANDMASTER,I,710,261,236,TRUE,FALSE,FALSE,FALSE,393,0.526717557,52,0.557692308,27.67333333,UTILITY UTILITY UTILITY BOTTOM MIDDLE UTILITY UTILITY UTILITY UTILITY MIDDLE,4.096666667,0.582375311,38.2,3.270296314,407.9342327,554.2375331,147.0549265,0.5,GRANDMASTER,I,601,100,76,FALSE,FALSE,TRUE,FALSE,119,0.546218487,1,0,22.53166667,MIDDLE TOP TOP TOP JUNGLE TOP TOP JUNGLE TOP TOP,5.052857143,0.477340909,12.2,7.216510097,449.775871,621.5652045,475.0824765,0.6,GRANDMASTER,I,655,907,824,TRUE,FALSE,FALSE,FALSE,1547,0.533936652,1141,0.539000876,24.55666667,JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE JUNGLE,5.588333333,0.54522506,20.6,7.452151486,471.7456224,768.0236188,1009.444822,0.5,GRANDMASTER,I,493,148,112,FALSE,FALSE,FALSE,FALSE,174,0.603448276,8,0.875,26.01,MIDDLE MIDDLE MIDDLE MIDDLE MIDDLE MIDDLE UTILITY MIDDLE MIDDLE BOTTOM,2.537301587,0.454217554,27.8,6.635909266,429.3810073,677.5778547,201.657055,0.4,GRANDMASTER,I,592,252,218,TRUE,FALSE,FALSE,FALSE,305,0.524590164,18,0.5,27.15166667,BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM,4.334166667,0.589375902,28.6,7.708550734,446.5840034,666.1174882,441.2178503,0.4,GRANDMASTER,I,650,613,584,TRUE,FALSE,FALSE,FALSE,1024,0.515625,159,0.51572327,27.48,BOTTOM BOTTOM TOP BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM,2.441634199,0.507754832,28.5,8.155021834,502.503639,979.4978166,501.419214,0.6,CHALLENGER,I,1387,417,349,TRUE,FALSE,FALSE,FALSE,28,0.5,6,0.833333333
NA1_4111370048,200,24.11,MIDDLE TOP TOP TOP TOP TOP TOP TOP TOP TOP,1.9125595238095237,0.3689924454630337,16.5,6.744089589381999,424.68270427208626,688.8884280381585,230.51430941518043,0.4,CHALLENGER,I,1032,719,666,True,False,False,False,1130,0.5353982300885,33,0.57575757575758,26.801666666666666,MIDDLE MIDDLE TOP MIDDLE JUNGLE MIDDLE MIDDLE MIDDLE MIDDLE MIDDLE,3.3011111111111107,0.3861409457549982,19.0,6.395124681300914,418.8545488464648,655.9592065170077,285.06809278029976,0.6,CHALLENGER,I,897,201,150,False,False,False,False,6,0.33333333333333,8,0.5,25.14666666666667,MIDDLE MIDDLE TOP MIDDLE UTILITY MIDDLE MIDDLE TOP TOP MIDDLE,6.696969696969697,0.48687668304036585,22.6,6.167815482502651,409.98276776246024,525.2306468716861,293.6850477200424,0.5,GRANDMASTER,I,764,243,206,False,False,False,False,250,0.552,7,0.71428571428571,24.369999999999997,BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM BOTTOM MIDDLE BOTTOM BOTTOM BOTTOM,2.3854761904761905,0.4714269942096621,21.1,7.968814115716045,440.33237587197374,667.0086171522364,155.4534263438654,0.4,CHALLENGER,I,1085,499,447,True,False,False,False,785,0.52993630573248,102,0.58823529411765,22.83833333333333,UTILITY UTILITY UTILITY UTILITY UTILITY UTILITY UTILITY UTILITY UTILITY UTILITY,4.636428571428572,0.5006613096929593,44.9,1.0596219805881923,268.1806903597752,216.19353426257024,46.06728453623294,0.7,CHALLENGER,I,876,567,475,False,False,False,False,462,0.58225108225108,25,0.6,23.27166666666667,TOP TOP TOP TOP TOP TOP TOP BOTTOM TOP TOP,2.3441017316017314,0.4214827193265268,19.9,7.399555969347562,450.255675714388,660.584401632887,430.5063381794743,0.5,GRANDMASTER,I,765,98,82,False,False,False,False,168,0.55357142857143,1,1,23.915,TOP TOP TOP MIDDLE TOP TOP TOP TOP TOP TOP,3.853888888888889,0.39687007204687674,18.8,7.171231444699979,427.67300857202594,649.7177503658792,353.1716495923061,0.6,CHALLENGER,I,898,478,445,False,False,False,False,19,0.47368421052632,14,0.28571428571429,19.71333333333333,TOP TOP TOP TOP TOP TOP TOP TOP TOP TOP,2.0103846153846154,0.4524578023794422,14.1,7.7510990869124115,430.3686168413933,543.4798782549882,181.33919513019953,0.5,PLATINUM,I,57,7,6,False,False,False,False,,,0,,26.615,BOTTOM MIDDLE MIDDLE BOTTOM BOTTOM UTILITY BOTTOM UTILITY BOTTOM BOTTOM,3.0766666666666667,0.441472110964371,29.3,6.586511365771182,404.0090174713508,649.4871313169266,490.43020852902504,0.7,GRANDMASTER,I,486,241,206,False,False,False,True,349,0.55873925501433,57,0.64912280701754,26.21666666666667,MIDDLE MIDDLE MIDDLE BOTTOM BOTTOM MIDDLE UTILITY BOTTOM MIDDLE MIDDLE,2.934285714285714,0.4323091493924487,24.0,5.851239669421487,380.52129688493324,708.8353464717101,175.67450731087092,0.5,CHALLENGER,I,1176,376,322,True,False,False,False,30,0.56666666666667,69,0.65217391304348
